sample,file,mse,mae,rmse,relative_l2,r2
34,Training dataset/4/Photothermal_Data1_06_pw6.mat,38845530.276462756,4396.72778913852,6232.618252104227,0.14983389477762882,0.9773554716697589
35,Training dataset/10/Photothermal2_Data1_plain_15_pw15.mat,13307912390.055347,44453.00821188677,115359.92540763602,0.16572938877875762,0.9718892702998376
36,Training dataset/9/Photothermal_Data1_plain_07_pw7.mat,11146395.832921427,1193.7914893747661,3338.6218463493924,0.30773690964687644,0.9049418728653769
37,Training dataset/4/Photothermal3_Data1_09_pw9.mat,350669265.95459837,13857.657259777321,18726.165276281165,0.3639768408032591,0.8658536091721993
38,Training dataset/2/PT_77.mat,85094533.121708,4617.937808474847,9224.66981098554,0.3473498553366284,0.8790463620141721
39,Training dataset/10/Photothermal_Data1_plain_16_pw16.mat,3794825857.252467,26380.225735550383,61602.157894447715,0.07043267372754006,0.9947310489700363
40,Training dataset/9/Photothermal4_Data1_plain_14_pw14.mat,5466966988.5212555,40990.887656025836,73938.94094806373,0.17287555098612561,0.9699208315385255
41,Training dataset/4/Photothermal3_Data1_13_pw13.mat,129764918.18356267,9000.368352572199,11391.440566651905,0.43341777551483135,0.8104601801608152
42,Training dataset/9/Photothermal_Data1_plain_01_pw1.mat,8095255280.229013,23771.551510211997,89973.63658444074,0.2819518951524335,0.9203740221192964
43,Training dataset/8/Photothermal_Data1_ax5_11_pw11.mat,2097164.894603716,935.8200537011913,1448.159139944128,0.18781837589274883,0.9632724607065654
44,Training dataset/2/PT_11.mat,50516257.15988964,3067.4883728441555,7107.478959510864,0.3091293267200318,0.9042052413589321
45,Training dataset/1/Chirp_3_0.05.mat,19957294.23069366,1713.986910310239,4467.358753300843,0.3180576212175244,0.8982465987629201
46,Training dataset/3/Photothermal4_Data1_13_pw13.mat,107284549.98913907,6419.327187178377,10357.825543478662,0.32187036159786453,0.8960054462677532
47,Training dataset/7/Photothermal4_Data1_ax5_12_pw12.mat,58560118.176443376,5390.226663616128,7652.4583093567635,0.3537521925876362,0.8609374298074177
48,Training dataset/5/Photothermal5_Data1_ax5_12_pw12.mat,20425953.359633926,2415.62988487868,4519.508088236365,0.41499901772096326,0.8085343729952684
49,Training dataset/2/PT_82.mat,286138690252.7735,149822.46570682852,534919.3306030111,0.8304151819001445,0.29533106387854324
50,Training dataset/5/Photothermal3_Data1_ax5_14_pw14.mat,157703232.62804016,9025.91115493622,12557.99476939054,0.06665458176924646,0.995416531093079
51,Training dataset/9/Photothermal_Data1_plain_04_pw4.mat,16713225.634548223,1414.15752525223,4088.1812135163755,0.3262176834848756,0.8930518616160088
52,Training dataset/8/Photothermal_Data1_ax5_15_pw15.mat,117193256.29350446,7933.6384765430075,10825.58341584898,0.036093055241733,0.9986486568234555
53,Training dataset/8/Photothermal3_Data1_ax5_10_pw10.mat,5050400.783362649,938.0064361121507,2247.3096767830307,0.5617847808030543,0.6780409791365796
54,Training dataset/9/Photothermal2_Data1_plain_14_pw14.mat,14817507716.46738,57518.261448850346,121727.18560973708,0.2780177437093526,0.9219877083718007
55,Training dataset/2/PT_56.mat,34763177.40956175,3271.7715035748815,5896.030648628088,0.2415829551135137,0.9387128667445066
56,Training dataset/7/Photothermal2_Data1_ax5_15_pw15.mat,81056934690.07773,199124.20099191266,284704.9958994006,0.4771523354692505,0.7656255455241355
57,Training dataset/1/Irregular_1_PT_1.mat,36249606889.04496,118196.09119030494,190393.29528385436,0.22008459899741914,0.9486245049049178
58,Training dataset/7/Photothermal5_Data1_ax5_09_pw9.mat,54787102.156709865,4082.2741371358843,7401.831000280259,0.4490628916992989,0.7803174661127757
59,Training dataset/6/Photothermal4_Data1_ax5_06_pw6.mat,10485287.321205257,2103.537461434553,3238.0993377605414,0.4459754729315395,0.7956750222007335
60,Training dataset/2/PT_98.mat,16969679.415496085,2717.7302885147674,4119.427073695575,0.18245924788681864,0.9657472603542336
61,Training dataset/2/PT_80.mat,133347671.97743744,6311.091085641217,11547.62624860354,0.36696369449808436,0.8648300850263206
62,Training dataset/10/Photothermal2_Data1_plain_16_pw16.mat,19961352038.048145,55233.11880854502,141284.64898228733,0.1604926131213697,0.9726782326609315
63,Training dataset/1/Irregular_2_Chirp_1_0.2.mat,255203736.3995076,5231.341711177255,15975.097383099348,1.0264561991494028,-0.06997257092223763
64,Training dataset/1/Irregular_2_Chirp_2_0.1.mat,14550941.883313362,1667.3350318990924,3814.5696852087212,0.2810197274302208,0.9200964076137017
65,Training dataset/5/Photothermal4_Data1_ax5_01_pw1.mat,81010457.05600561,6401.918598194236,9000.580928807074,0.0689553410766074,0.9951311922989575
66,Training dataset/7/Photothermal4_Data1_ax5_13_pw13.mat,12502274.953430712,2112.3945467073663,3535.855618295339,0.4187628470230739,0.8245730612511981
67,Training dataset/10/Photothermal2_Data1_plain_10_pw10.mat,21404522.851918623,2783.5263805299555,4626.502226511798,0.168311783506181,0.9715971934081385
68,Training dataset/6/Photothermal_Data1_ax5_15_pw15.mat,4492714115.931966,37830.527524053454,67027.71155225251,0.24656891353456972,0.9384773951950427
69,Training dataset/9/Photothermal4_Data1_plain_07_pw7.mat,11401710.787910271,1582.6645842007392,3376.6419395473768,0.31234272682483094,0.9019871118062315
70,Training dataset/8/Photothermal5_Data1_ax5_05_pw5.mat,1212355.381470997,771.6143009293912,1101.070107427768,0.25439153604999504,0.9329351872220681
71,Training dataset/10/Photothermal3_Data1_plain_09_pw9.mat,19810997.586821955,2722.8211620703905,4450.954682629555,0.15410041764533375,0.9752816364718055
72,Training dataset/9/Photothermal4_Data1_plain_03_pw3.mat,96421215.54778112,4825.507478061455,9819.430510359607,0.4688962972107359,0.772043041979865
73,Training dataset/10/Photothermal5_Data1_plain_15_pw15.mat,40569834900.53593,66463.92574565712,201419.5494497392,0.2907146094906201,0.913512503789891
74,Training dataset/2/PT_89.mat,13494065.432736967,2105.8217027663422,3673.4269330880893,0.21489098523351374,0.9530917253228738
75,Training dataset/3/Photothermal2_Data1_11_pw11.mat,42140581.42310434,4285.903516131799,6491.577729882339,0.1738043436782147,0.9694523924501053
76,Training dataset/3/Photothermal4_Data1_10_pw10.mat,54416778.9833699,4235.322363963479,7376.772938309129,0.26950062652068135,0.9271762446183718
77,Training dataset/9/Photothermal4_Data1_plain_08_pw8.mat,47069484.855396196,3528.5860548629303,6860.720432680244,0.38793233779744646,0.8466443103455541
78,Training dataset/1/Irregular_1_PT_0.2.mat,15233186482.560421,52392.55606660702,123422.79563581607,0.28208254698804597,0.9196863650163709
79,Training dataset/10/Photothermal4_Data1_plain_03_pw3.mat,48368559.282086745,4158.495817456883,6954.750842559835,0.2657788554168961,0.9271418828434009
80,Training dataset/8/Photothermal2_Data1_ax5_15_pw15.mat,565275568.2719754,17731.12520634512,23775.524563550127,0.0703536529801782,0.9949060546604278
